s,name,cname
http://example.com/heritage/id/106590084w,"House at 6 Magistral Aguado, Frómista",Spain
http://example.com/heritage/id/106590085w,"House at 4 Pozuelo street, Frómista",Spain
http://example.com/heritage/id/106590086w,"Magistral Aguado and Hospital streets house, Frómista",Spain
http://example.com/heritage/id/106590088w,"House next to the castle, Frómista",Spain
http://example.com/heritage/id/106592095w,"Church of Saint Mary Magdalene, Población de Campos",Spain
http://example.com/heritage/id/106592096w,"Chapel of Our Lady of Perpetual Help, Población de Campos",Spain
http://example.com/heritage/id/106592097w,"Chapel of Saint Michael, Población de Campos",Spain
http://example.com/heritage/id/106594050w,House at the corner of Ontana and Fuentelugar streets,Spain
http://example.com/heritage/id/106594051w,"House with coat of arms, Población de Campos",Spain
http://example.com/heritage/id/106594052w,Veracruz house,Spain
http://example.com/heritage/id/106594053w,"House at 7-9 Constitución street, Población de Campos",Spain
http://example.com/heritage/id/106594054w,Typical granary in Población de Campos,Spain
http://example.com/heritage/id/106594301w,Church of Saint Lawrence,Spain
http://example.com/heritage/id/106594302w,"Building at 1-2 General Amor square, Revenga de Campos",Spain
http://example.com/heritage/id/106594303w,"Building at 4 Francesa street, Revenga de Campos",Spain
http://example.com/heritage/id/106594304w,"Building at 22 Francesa street, Revenga de Campos",Spain
http://example.com/heritage/id/106594305w,Church of Saint Mary,Spain
http://example.com/heritage/id/106594703w,Church of San Martin,Spain
http://example.com/heritage/id/106594820w,"House at P-980 Road, Villarmentero de Campos",Spain
http://example.com/heritage/id/106595017w,Communal granary of Villalcázar de Sirga,Spain
http://example.com/heritage/id/106595076w,City Hall of Villalcázar de Sirga,Spain
http://example.com/heritage/id/106599145w,"Shrine of the Holy Christ, Villalcázar de Sirga",Spain
http://example.com/heritage/id/106599146w,Hermitage Virgen del Rio,Spain
http://example.com/heritage/id/106599393w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106600473w,"Building at 4 La Rúa street, Carrión de los Condes",Spain
http://example.com/heritage/id/106600687w,Church of Saint Andrew,Spain
http://example.com/heritage/id/106600802w,Hermitage of La Piedad,Spain
http://example.com/heritage/id/106602216w,Church of Saint Julian,Spain
http://example.com/heritage/id/106602317w,Chapel of San Juan de Cestillos,Spain
http://example.com/heritage/id/106602318w,Hermitage of the Nazarenes,Spain
http://example.com/heritage/id/106602320w,Church of Saint Francis,Spain
http://example.com/heritage/id/106602678w,Convent of Carmelitas Order,Spain
http://example.com/heritage/id/106602719w,Church of Saint James,Spain
http://example.com/heritage/id/106602760w,City Hall of Carrión de los Condes,Spain
http://example.com/heritage/id/106602893w,Church of Saint Cristovo,Spain
http://example.com/heritage/id/106603187w,"Fountain at Santa María square, Carrión de los Condes",Spain
http://example.com/heritage/id/106603188w,"Immaculate Monument, Carrión de los Condes",Spain
http://example.com/heritage/id/106603203w,Bridge over the Carrion river in Carrión de los Condes,Spain
http://example.com/heritage/id/106603524w,Church of Saint Mary,Spain
http://example.com/heritage/id/106603664w,Church of Saint John,Spain
http://example.com/heritage/id/106603794w,Church of Saint Gilles,Spain
http://example.com/heritage/id/106608815w,House at Santa María square and Cura Carrión square,Spain
http://example.com/heritage/id/106608816w,Santa María Rectory house,Spain
http://example.com/heritage/id/106608817w,"House at 2 Villegas street, Carrión de los Condes",Spain
http://example.com/heritage/id/106608818w,"House at 13 La Rúa street, Carrión de los Condes",Spain
http://example.com/heritage/id/106608819w,"Building bt 4 San Julián square, Carrión de los Condes",Spain
http://example.com/heritage/id/106610202w,"House at 4 Obispo Álvarez Voz Mediano street, Carrión de los Condes",Spain
http://example.com/heritage/id/106610203w,"House with balconies at the corner of Adolfo Suárez and Alfonso II streets, Carrión de los Condes",Spain
http://example.com/heritage/id/106610204w,Velasco House,Spain
http://example.com/heritage/id/106610360w,"House at Regentes square, Fernán Gómez street and Clérigo Pastor street",Spain
http://example.com/heritage/id/10661058w,Iglesia de San Juan,Spain
http://example.com/heritage/id/106614015w,Casa Froián,Spain
http://example.com/heritage/id/106614022w,"Building at 6 Mayor square, Carrión de los Condes",Spain
http://example.com/heritage/id/106614023w,"Building at 11 Mayor square, Carrión de los Condes",Spain
http://example.com/heritage/id/106614024w,"Building at 5 Mayor square, Carrión de los Condes",Spain
http://example.com/heritage/id/106614025w,"Building at 4 Mayor square, Carrión de los Condes",Spain
http://example.com/heritage/id/106614026w,Old prison of Carrión de los Condes,Spain
http://example.com/heritage/id/106614027w,House with coat of arms at 5 Ruiz Girón street,Spain
http://example.com/heritage/id/106614093w,Church of Saint James the Great,Spain
http://example.com/heritage/id/106614219w,Church of Saint Mary,Spain
http://example.com/heritage/id/10661422w,St. Michael's Church,Slovenia
http://example.com/heritage/id/106614282w,Church of San Martiño,Spain
http://example.com/heritage/id/106614328w,Church of Saint Christopher,Spain
http://example.com/heritage/id/106614367w,Church of Saint John,Spain
http://example.com/heritage/id/106614406w,Priory House of Louzara,Spain
http://example.com/heritage/id/106614407w,Maristas School,Spain
http://example.com/heritage/id/106614408w,Municipal Hospital of Carrión de los Condes,Spain
http://example.com/heritage/id/106616335w,Our Lady of Mercy Home,Spain
http://example.com/heritage/id/106616435w,Espíritu Santo School,Spain
http://example.com/heritage/id/106616738w,"House at Las Cercas street and San Julián square, Carrión de los Condes",Spain
http://example.com/heritage/id/106620814w,Church of Saint Andrew,Spain
